Title,Date,Content,"Access to a secure digital","Accessible and sustainable","Affecting Topics","Type of organisations",Countries,Impact,"Alert types","Civic and political","Civil Society Organisation","Enabling principles","New Contextual","New Violations","Open and responsive State","Respect and protection","Socioeconomic rights","Specific age groups","Specific groups minority","Supportive legal","Supportive public culture","Permalink Path",Permalink
"Appeals court overturns Sadia Moalim Ali’s conviction and orders her release after 123 days in detention",2026-08-17,"On 12 August 2026, the Banaadir Regional Court of Appeal overturned the three-year prison sentence imposed on Somali social activist Sadia Moalim Ali and ordered her release after 123 days in detention. Sadia had been arrested in Mogadishu on 12 April 2026 in connection with her activism, including her social media activity and participation in peaceful protests. She was subsequently convicted and sentenced to three years in prison on 25 June 2026. Amnesty International had described her detention and conviction as arbitrary and campaigned for her immediate and unconditional release.
The appeals court decision represents a significant judicial development concerning freedom of expression and peaceful civic participation in Somalia. The Coalition of Somali Human Rights Defenders welcomed her release and called for continued protection, justice and accountability. The case had generated sustained attention from Somali and international human rights actors and civil society organizations.
The decision has a positive impact on the enabling environment because it provides judicial redress in a case involving fundamental freedoms and demonstrates that an appeal process can provide a mechanism for challenging a restrictive lower-court decision.",,,"Civic and political engagement","National formal and informal organisations",Somalia,Positive,"Improvement alert","Civic and Electoral Rights",,"1. Respect and protection of fundamental freedoms | 5. Supportive public culture and discourses on civil society",,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society","Arbitrary Arrests and Detentions | Freedom of expression | Improvement in the rights protection framework",,,,,,/event/appeals-court-overturns-sadia-moalim-alis-conviction-and-orders-her-release-after-123-days-in-detention/,https://events-eusee.hivos.org/event/appeals-court-overturns-sadia-moalim-alis-conviction-and-orders-her-release-after-123-days-in-detention/
"Civil Society Calls for Human Rights and the Release of People Detained for Political Reasons to Be Central to the New Dialogue Process",2026-08-17,"On 1 August 2026, a formal process of political dialogue and negotiation was launched between authorities of Delcy Rodríguez’s interim government and representatives of the National Assembly elected in 2015.
Although this represents another attempt at political negotiation, the process has three distinctive characteristics. First, it is taking place seven months after the U.S. military intervention in Venezuelan territory. Second, the United States government is the initiative’s main sponsor and will act as an observer of the process. Third, the dialogue is taking place between the core leadership of the 2015 National Assembly and officials of the interim government, led by the current President of the National Assembly.
In this regard, the priority objective of the process will be to strengthen democratic institutions, including the electoral system and the restoration of other political rights. The initial agreed agenda is based on three areas: addressing the needs of earthquake victims, strengthening democracy, and political rights and guarantees.
However, the actual agenda is broader, including progress on civil and political rights, a process of re-institutionalising the Supreme Court of Justice and the National Electoral Council. According to information reported by the media and other sources, the aim is to achieve progress in these three areas between October and December of this year.
Several Venezuelan civil society organisations have agreed that, regardless of the initiatives adopted, the country’s democratic recovery and re-institutionalisation require the full recognition of all citizens’ rights, the unconditional release of all people detained for political reasons, and the establishment of guarantees of non-repetition.",,,,,Venezuela,Positive,"Opportunity alert",,,"1. Respect and protection of fundamental freedoms",,,,"Accountability for human rights violations | Improvement in the rights protection framework",,,,,,/event/civil-society-calls-for-human-rights-and-the-release-of-people-detained-for-political-reasons-to-be-central-to-the-new-dialogue-process/,https://events-eusee.hivos.org/event/civil-society-calls-for-human-rights-and-the-release-of-people-detained-for-political-reasons-to-be-central-to-the-new-dialogue-process/
"Resignation of Ministry of Home Affairs and the Ministry of Energy and Natural Resources",2026-08-17,"On 11 August 2026, the Prime Minister's Office issued a Press Release announcing the voluntary resignation of two Cabinet Ministers, that of the Ministry of Home Affairs and the Ministry of Energy and Natural Resources.
In his position as the Minister for Home Affairs, Lyonpo Tshering was serving as the Chairperson of the Civil Society Organisation Authority (CSOA). His resignation comes on moral grounds, amidst an ongoing personal matter that was circulating online, and was seen as affecting public trust and integrity and the need to uphold high standards of governance. During his tenure as the Home Minister and the CSO Authority Chairperson, he supported the work by the sector and had been visiting and meeting with officials of the CSOs to understand and learn more about the sector as well as identify how the Government could work with the CSOs. In 2024, 16 CSOs, largely those working in the social sector also received a total of Nu.300 million from the Government.
The National Assembly Speaker, Lungten Dorji will replace the outgoing Minister as the next Home Minister, and Mr. Tshering will continue to serve as a Member of Parliament.",,,"Civic and political engagement","National formal and informal organisations",Bhutan,Negative,Event,"Civic and Electoral Rights",,,,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society",,,,,,,/event/resignation-of-ministry-of-home-affairs-and-the-ministry-of-energy-and-natural-resources/,https://events-eusee.hivos.org/event/resignation-of-ministry-of-home-affairs-and-the-ministry-of-energy-and-natural-resources/
"Reported arrests of artists  in Western Province raises concerns over freedom of expression, political participation and fundamental rights",2026-08-17,"On 5 August 2026, Zambian police reportedly arrested musicians, a comedian and political supporters in the Mongu/Kalabo area in Western Province, in connection with alleged conduct likely to cause a breach of the peace. Those reportedly arrested included musician Moses Ng’andwe, popularly known as Chester; Felix Ndangeni Inshila; and comedian Winston Ngosa, popularly known as IDC Light Comedy.
The reported arrests occurred in the lead-up to Zambia’s 13 August 2026 General Election and involved public personalities reportedly associated with political activities and mobilization for the opposition party, the National Reconciliation Party for Unity and Prosperity (NRPUP), in the area. The circumstances have raised concerns regarding the exercise of freedom of expression and political participation during a sensitive electoral period.
The Comedy Association of Zambia and the Zambia Music Association have confirmed the arrests of their respective members and have called for their release. The associations' confirmation further corroborates the reported arrests and highlights concerns within the creative sector about how artists are treated during the electoral period.",,,"Civic and political engagement","Cultural and Artistic Organisations",Zambia,Negative,Event,"Civic and Electoral Rights",,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Freedom of expression",,,,,,/event/reported-arrests-of-artists-in-western-province-raises-concerns-over-freedom-of-expression-political-participation-and-fundamental-rights/,https://events-eusee.hivos.org/event/reported-arrests-of-artists-in-western-province-raises-concerns-over-freedom-of-expression-political-participation-and-fundamental-rights/
"India’s Gen Z rises — Youth protests and activist Sonam Wangchuk’s 26-Day Hunger Strike force the Union Education Minister’s Resignation over Exam-Integrity failures.",2026-08-17,"In July 2026, a youth-led movement over examination integrity grew into one of India’s most significant civic mobilisations in recent memory — and, unusually, one that forced a concrete result. Triggered by the leak of the National Eligibility cum Entrance Test (Undergraduate) NEET-UG 2026 medical entrance paper, students and young people took to the streets and to social media in large numbers, converging on Delhi’s Jantar Mantar to demand fair examinations, government accountability, and the resignation of the Union Education Minister. The mobilisation, associated with the self-described Cockroach Janta Party (CJP), drew significant participation from students and young people and developed through both online mobilisation and street demonstrations.
Key developments:

28 June 2026 — Renowned Ladakhi environmental activist Sonam Wangchuk began an indefinite hunger strike at Jantar Mantar in solidarity with the students, demanding examination reforms and accountability.
In July 2026, Gen Z and student protesters mobilised across India, particularly in Delhi, over alleged examination irregularities and demanded government accountability, including the resignation of Union Education Minister Dharmendra Pradhan.
24 July 2026 — Wangchuk ended his fast on its 26th day, following government assurances, including a commitment by the Prime Minister to take “strict action” on examination mismanagement.
25 July 2026 — Union Education Minister Dharmendra Pradhan resigned — a central demand of the movement. The government ordered a Central Bureau of Investigation probe, cancelled the compromised exam, conducted a re-test, and announced NEET’s shift to a computer-based format from 2027.
July–August 2026 — In Jharkhand, students and government job aspirants continued protests over alleged irregularities in the Jharkhand Public Service Commission and Jharkhand Staff Selection Commission recruitment examinations, demanding transparency and investigation.

These developments reflect growing youth participation in civic affairs through protests, hunger strikes and digital mobilisation, while also highlighting concerns regarding examination governance, government accountability, and the protection of peaceful assembly and expression. Specifically, the reported restrictions on demonstrations, the denial of protest permits beyond Jantar Mantar, and alleged use of force against protesters raise real concerns about the proportionality of the state’s response and the space available for dissent. The movement is therefore both a powerful example of civic participation and a reminder of how precarious the right to protest, especially for young people, can be.",,,,,India,Positive,"Context to watch",,,"1. Respect and protection of fundamental freedoms | 5. Supportive public culture and discourses on civil society",,,,"Freedom of assembly",,"Youth and students’ Rights",,,,/event/indias-gen-z-rises-youth-protests-and-activist-sonam-wangchuks-26-day-hunger-strike-force-the-union-education-ministers-resignation-over-exam-integrity-failures/,https://events-eusee.hivos.org/event/indias-gen-z-rises-youth-protests-and-activist-sonam-wangchuks-26-day-hunger-strike-force-the-union-education-ministers-resignation-over-exam-integrity-failures/
"Promises of Transparency Without Updated Information on the Destination of Oil Revenues",2026-08-17,"In January 2026, shortly after Delcy Rodríguez assumed office as Acting President of the Republic, the government announced the creation of two funds through which resources generated by the country’s oil activity would be channelled: the Social Protection Fund and the Infrastructure and Services Fund.
In this regard, the Acting President announced the creation of a digital platform that would be used to make information on the management of these funds and resources publicly available. Thus, in March, the official “Sovereign Transparency” portal was created and presented as a mechanism for monitoring and accountability.
At the time of its launch, the platform reported an income of USD 300 million from an oil-sector transaction which, according to the information displayed on the platform, had been allocated to the Social Protection Fund.
However, despite the promises of greater monitoring and transparency in the management of public revenues from the oil sector, the portal has not been updated since 13 March and continues to display the same figure cited above, with no changes.
This issue has been highlighted by Transparencia Venezuela, and is particularly significant given the scale of revenues generated in 2026, which, according to its estimates, have ranged between USD 6 billion and USD 8 billion. To date, however, the destination of these resources has not been disclosed, despite the government’s own announcements at the beginning of the year.
This situation represents a continuation of the policy of opacity that has characterised access to public information in the country, particularly regarding the management of public resources, as updated information remains unavailable.",,,,,Venezuela,Negative,Event,,,,,,"Changes in degree of government accountability to civil society | Changes in degree of transparency of government / freedom of information",,,,,,,/event/promises-of-transparency-without-updated-information-on-the-destination-of-oil-revenues/,https://events-eusee.hivos.org/event/promises-of-transparency-without-updated-information-on-the-destination-of-oil-revenues/
"ECZ Nationwide suspension of results announcement raises concerns over peaceful and credible elections in Zambia",2026-08-17,"On 14 August 2026, the Electoral Commission of Zambia (ECZ) temporarily suspended vote counting and the announcement of results following reports of violence against election officials and theft of ballot papers during the 13 August general elections. The suspension affected the presidential and parliamentary results.
According to Reuters, the ECZ lifted the suspension later on 14 August after determining that the security threat had been contained. ECZ Chairperson Mwangala Zaloumis stated that results would be announced progressively and warned candidates against declaring themselves winners before the official results. Final presidential results were expected by 17 August.
The interruption occurred amid heightened political tensions. Opposition candidate Brian Mundubile claimed his party had won, while President Hakainde Hichilema urged citizens to remain patient and peaceful. The ECZ reiterated that only the Commission has authority to announce official results.",,,"Civic and political engagement","National formal and informal organisations",Zambia,Negative,"Deterioration alert","Civic and Electoral Rights",,"1. Respect and protection of fundamental freedoms | 5. Supportive public culture and discourses on civil society",,,,"Freedom of association",,,,,"Negative discourses on CSOs",/event/ecz-nationwide-suspension-of-results-announcement-raises-concerns-over-peaceful-and-credible-elections-in-zambia/,https://events-eusee.hivos.org/event/ecz-nationwide-suspension-of-results-announcement-raises-concerns-over-peaceful-and-credible-elections-in-zambia/
"Escalation of restrictions on the cooperative sector: weakened promotion policies, suspensions and withdrawal of operating authorisations",2026-08-17,"On 31 July 2026, INAES Resolution No. 1556/2026 was published, through which the Argentine State moved from suspending to withdrawing the operating authorisation of a group of cooperatives that had remained suspended since the oversight process initiated in 2024. Under the Cooperatives Law, the withdrawal of operating authorisation constitutes grounds for the dissolution of the entity.
The measure represents a further step within a broader process that has altered the institutional conditions for establishing, sustaining and developing cooperatives, forms of collective economic organisation in which members engage in productive and service activities under a democratic governance structure. Since 2024, this process has been marked by the suspension of 7,873 cooperatives and 417 mutual associations, the requirement of a minimum of six members to establish certain cooperatives, which hinders small-scale collective organisation, a reduction in promotion and financing programmes and instruments, and increased administrative requirements.
These measures particularly affect organisations with more limited administrative and financial capacity, which are simultaneously facing a reduction in State support mechanisms and stronger oversight and sanctioning mechanisms. While the State has the authority to supervise compliance with legal obligations, the reduction in State support and the strengthening of oversight may make it more difficult for organisations to regularise their status and remain sustainable.
In this context, the withdrawal of operating authorisations contributes to a deterioration of the enabling environment for the cooperative sector and poses a risk of further contraction of a sector that provides a space for economic organisation and collective participation.",,"Changes to the availability of funding",,"Economic interest representation",Argentina,Negative,"Early warning alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework | 3. Accessible and sustainable resources",,,,"Freedom of association",,,,"Changes affecting the formation and registration of CSOs | Suspension or Dissolution of Organizations",,/event/escalation-of-restrictions-on-the-cooperative-sector-weakened-promotion-policies-suspensions-and-withdrawal-of-operating-authorisations/,https://events-eusee.hivos.org/event/escalation-of-restrictions-on-the-cooperative-sector-weakened-promotion-policies-suspensions-and-withdrawal-of-operating-authorisations/
"Organizers of 2023 protests granted house arrest while criminalization proceedings continue",2026-08-17,"On 4 August 2026, the Third Criminal Court granted house arrest to Luis Pacheco and Héctor Chaclán, former authorities of the 48 Cantons of Totonicapán, who had spent one year and three months in preventive detention. Both were arrested on 23 April 2025 and are being prosecuted for terrorism and obstruction of criminal action in relation to their role in the mobilizations following the 2023 general elections. The protests arose in response to the actions by the Public Prosecutor's Office against the electoral process and became a broad expression of citizen participation and defense of the election results and the democratic order, led by indigenous authorities and different social sectors. During the period of Pacheco’s and Chaclán’s detention, hearings to review the coercive measures were suspended or rescheduled on several occasions.
The resolution replaces preventive detention with house arrest and establishes a financial bond of Q160 thousand for each as well as the obligation to appear monthly before the Public Prosecutor's Office, the prohibition of leaving the country without judicial authorization, and the impossibility of holding public office while the process continues. The measure represents progress with respect to their right to freedom, however, the criminal process remains open.
During the same hearing, the court complied with a resolution of the Fourth Chamber of Appeals that ordered them to also be prosecuted for illicit association, a crime that adds to the accusations of terrorism and obstruction of criminal action. Likewise, the intermediate stage hearing was rescheduled for September 22, 2026.
The case continues to be relevant to the enabling environment of civil society organizations due to its implications for the right to protest, citizen participation, and the exercise of the collective rights of indigenous authorities and leaders. Although the substitution of pretrial detention is a step forward, the continuity and expansion of the criminal process maintain concerns about possible inhibiting effects on social mobilization and participation.
Civil society needs to maintain the monitoring of the judicial proceedings, respect for the guarantees of due process and the conditions imposed on both former leaders. The evolution of the case will make it possible to assess whether there are additional advances in the protection of their rights or if conditions persist that could generate restrictive effects on indigenous authorities, community leaders and other civil society actors linked to protest and citizen participation.",,,"Civic and political engagement","National formal and informal organisations",Guatemala,Positive,"Context to watch","Civic and Electoral Rights",,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | HRD releases or dismissal of cases",,,"Ethnic and Indigenous Populations’ Rights",,,/event/organizers-of-2023-protests-granted-house-arrest-while-criminalization-proceedings-continue/,https://events-eusee.hivos.org/event/organizers-of-2023-protests-granted-house-arrest-while-criminalization-proceedings-continue/
"Mohamed Bakir Turki remanded in custody on charges relating to terrorism and his online comments",2026-08-17,"On 12 August 2026, the investigating judge at the Sidi M’Hamed Court in Algiers ordered the remand in custody of Mohamed Bakir Turki, known as ‘Sofiane’, at Koléa Prison. The activist had been arrested at his place of work on 9 August 2026 and held in police custody prior to his appearance in court. He is being prosecuted, amongst other things, for “glorifying terrorism” and for using information and communication technologies to support or disseminate the ideas of a terrorist organisation, as well as for spreading false information likely to undermine public order, harm the national interest, show contempt for the authorities and incite a boycott of the elections. The charges are reportedly based, in particular, on his participation in a TikTok live stream broadcast on 5 June 2026.
Mohamed Bakir Turki is particularly well known for having coined the phrase ‘Yetnahaw Gaâ’ in 2019, which has become one of the iconic slogans of the Hirak. This case raises concerns about the use of anti-terrorism provisions and public order offences against political statements posted on social media, with a potential chilling effect on freedom of expression and civic participation in Algeria.","Internet Censorship",,"Civic and political engagement","National formal and informal organisations",Algeria,Negative,Event,,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Arbitrary Arrests and Detentions | Freedom of expression",,,,,,/event/mohamed-bakir-turki-remanded-in-custody-on-charges-relating-to-terrorism-and-his-online-comments/,https://events-eusee.hivos.org/event/mohamed-bakir-turki-remanded-in-custody-on-charges-relating-to-terrorism-and-his-online-comments/
"Suppression of criticism of government continues with arrest of two netizens",2026-08-14,"Based on a complaint filed on 4 August 2026, the Cyber Crime Directorate of the West Java Regional Police has arrested two men, AYP (49) and AF (40), over posts they had made on the social media platform Threads. They are charged with incitement or provocation under the Electronic Information and Transactions (ITE) Law for allegedly editing and sharing a provocative post about Prabowo’s speech, in which she aid that Iran has nuclear weapons. At the time of reporting, the Presidential Palace had not issued a substantive response and referred inquiries to the police.
Civil society groups like Amnesty International Indonesia and YLBHI are monitoring the case, with Amnesty International Indonesia condemning the arrests as repressive. The incident is part of a broader pattern of the ITE law being used in broad ways to criminalise online posts commenting on official statements or otherwise being critical of the government. The arrested men now face a maximum prison sentence of 2 years and a maximum fine of 200 million IDR (ca. 10,000 Euro).",,,"Civic and political engagement",,Indonesia,Negative,Event,,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Arbitrary Arrests and Detentions | Freedom of expression",,,,,,/event/suppression-of-criticism-of-government-continues-with-arrest-of-two-netizens/,https://events-eusee.hivos.org/event/suppression-of-criticism-of-government-continues-with-arrest-of-two-netizens/
"Sham parliament approves Anti-Online Scam Bill introducing capital punishment amid ongoing military complicity",2026-08-14,"On 28 July 2026, the sham Pyidaungsu Hluttaw (the joint Lower and Upper Houses) in Naypyidaw passed the sweeping ""Anti-Online Scam Bill,"" officially enacted as Pyidaungsu Hluttaw Law No. 3/2026 on 31 July 2026. The legislation establishes severe legal penalties aimed at dismantling transnational cyber-fraud syndicates that have flourished in Myanmar's border regions. Crucially, the bill authorizes capital punishment for operators, guards, or managers who utilize violence, torture, illegal abductions, or forced detention to coerce individuals into cyber fraud operations, particularly if such abuse results in a victim's death. Furthermore, it mandates maximum sentences of life in prison for individuals directly operating online scam centers or committing cryptocurrency fraud.
The passage of this bill marks the first major piece of criminal legislation enacted by the new pseudo-civilian administration led by the Union Solidarity and Development Party (USDP) following the regime's heavily orchestrated 2025-26 sham elections. The legislative push comes as the junta faces mounting diplomatic pressure from China and the United States to crack down on industrial-scale scam compounds. During 22-24 July 2026, the junta and junta-aligned Democratic Karen Benevolent Army (DKBA) have moved thousands of foreign nationals working in their scam site from Kyaukkhet area first to Sonseemyaing village, the headquarters of DKBA, and then to the Payathonzu (Three Pagodas Pass) area in Karen State. 
However, the Karen National Union (KNU) and resistance groups remain deeply skeptical, noting that recent crackdowns and deportations have largely resulted in scam outfits merely relocating to other border regions rather than ceasing operations, largely due to the deep complicity of pro-junta Border Guard Forces (BGF) and military-aligned militias that directly profit from leasing land to these criminal enterprises.",,,"Civic and political engagement","National formal and informal organisations",Myanmar,Negative,Event,,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Non-physical Intimidation Tactics",,,,,,/event/sham-parliament-approves-anti-online-scam-bill-introducing-capital-punishment-amid-ongoing-military-complicity/,https://events-eusee.hivos.org/event/sham-parliament-approves-anti-online-scam-bill-introducing-capital-punishment-amid-ongoing-military-complicity/
