post_title,summary,creation_date,category,post_tag,alert-country,enabling-principle,alert-impact,alert-type,respect-and-protection,supportive-legal,accessible-and-sustainable,open-and-responsive-state,supportive-public-culture,access-to-a-secure-digital,affecting-topic,socioeconomic-rights,specific-groups-minority,specific-age-groups,civic-and-political
"Continued Enforcement of Israeli Restrictions Limits Humanitarian and Civil Society Operations in the oPt","Event Summary
Continued Enforcement of Israeli Restrictions Limits Humanitarian and Civil Society Operations in the oPt
The Israeli occupation authorities continue to enforce restrictive procedures for registering international non-governmental organizations (INGOs) operating in the Palestinian territories. These measures, first announced in March 2025, are seen as an attempt to silence independent humanitarian voices and restrict their vital operations.
On 13 August 2025, more than 100 international and local humanitarian organizations operating in the occupied Palestinian territory  voiced alarm over the continued enforcement of Israeli procedures regulating the registration and operation of international non-governmental organizations (INGOs). The rules, introduced earlier in 2025, have been described as an extension of Israel’s policy to control humanitarian access and restrict the civic space of independent organizations.
The procedures require INGOs to submit detailed lists of Palestinian staff and funding sources for security clearance, a measure that many groups have rejected due to serious concerns over staff safety, data privacy, and potential misuse of information. The implementation of these restrictions has significantly delayed or blocked the entry of essential humanitarian supplies into the Gaza Strip, worsening an already catastrophic situation for civilians.
Humanitarian agencies, including Oxfam, CARE, and Médecins Sans Frontières (MSF), warned that Israel’s policies are effectively “weaponising aid” by turning bureaucratic requirements into tools of political control. They stressed that the measures undermine neutral humanitarian principles and endanger both aid workers and beneficiaries.
The humanitarian toll remains unprecedented, According to the UN Office for the Coordination of Humanitarian Affairs (OCHA), at least 565 aid workers have been killed in Gaza since October 2023. The UN Relief and Works Agency (UNRWA) also reports that over 370 of its staff members have been killed as of October 2025.
The continued enforcement of these measures highlights growing concerns over Israel’s control of humanitarian operations in the oPt and raises urgent questions about accountability, access, and the protection of humanitarian workers under international law.
",2025-11-19,,,Palestine,"Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Negative,,,,,,,,,,,,
"Public order alert following clashes in Puerto Rondón, Arauca","Event Summary
On 24 October 2025, Colombia’s Ombudsman’s Office warned of a serious public order crisis in Puerto Rondón, Arauca, due to active clashes between the FARC-EP dissident fronts (10th, 28th, and 45th) and the ELN’s Eastern War Front. Fighting has directly affected civilians: at least 35 families in El Perocero face restricted mobility and fear, while 29 families in El Ripial and Maporal risk confinement. These hostilities violate international humanitarian law by exposing non-combatants to crossfire and displacement. Authorities have been urged to coordinate urgent protection, deterrence, and humanitarian assistance. The escalation threatens the enabling environment for civil society by increasing insecurity, limiting freedom of movement, and diverting state resources away from social programs toward conflict response—further shrinking civic space in a region already marked by violence and weak institutional presence. In addition to endangering lives, this escalation also erodes the enabling environment for civic engagement and service delivery, deepening vulnerability in an already fragile context.
",2025-11-19,,,Colombia,"Respect and protection of fundamental freedoms",Negative,"Crisis alert",,,,,,,,,,,
"Blockades and protests in southwestern Colombia by ethnic communities","Event Summary
From 14 to 17 October 2025, roadblocks and demonstrations took place on the Cali-Buenaventura road, organised by ethnic and peasant communities expressing their dissatisfaction with the national government&#8217;s failure to comply with agreements on land and social investment. This route is one of the most important for Colombia, as it connects the port of Buenaventura with the rest of the country. As a result, the impact of these blockades exceeded 30 billion Colombian pesos (about 8 million dollars) and left several surrounding areas with food and gas shortages. The incident left four police officers injured and involved the use of force by the Valle del Cauca provincial government.
The leadership of this mobilisation is attributed to the so-called Congreso de los Pueblos (People&#8217;s Congress), a national organisation that includes peasants, indigenous peoples, Afro-Colombian communities, among others. This is a pattern of demonstrations where roads have been blocked on repeated occasions throughout 2025 to pressure dialogue between communities and the national government.
The demonstration came to an end when the community that was holding the protest reached an agreement with a delegation from the national government. The agreement includes commitments by the national government on issues related to agrarian reform, the dismantling of paramilitarism, and mining and environmental policies.
",2025-11-19,,,Colombia,"Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Negative,"Context to watch","Freedom of expression",,,"Changes in degree of government accountability to civil society",,,,,,,
"Repeated suspensions and regulatory harassment of media outlets","Event Summary
Since January 2025, Benin’s High Authority for Audiovisual and Communication (HAAC) has multiplied decisions to withdraw authorisations, frequencies, and slots on the digital multiplex, targeting several audiovisual media outlets. The decisions taken in November 2025 follow this same trend, with the simultaneous withdrawal of frequencies for Mifon FM, Couffo FM, Aïfa FM, Urban FM and Nostalgie FM, as well as the removal of multiplex slots for Canal 2 Star, Imalè Africa TV and Tunde Agric TV. In each case, the HAAC cites non-compliance with regulatory requirements, particularly the obligation of regular broadcasting established in Article 5.
Although these decisions are based on legitimate legal grounds and on the need to ensure the proper management of the radio spectrum, their accumulation over a short period — starting as early as the beginning of 2025 — raises major concerns about their overall impact on press freedom, media pluralism, and the public’s access to diverse information. Indeed, the repeated use of the most severe sanction (the outright withdrawal of authorisation) reduces the number of media actors operating, increases the sector’s vulnerability, and may have a chilling effect on the newsrooms that remain active.
The lack of public information on whether the economic, technical, or structural difficulties of the affected media were examined also limits the transparency of the process. A thorough assessment appears necessary to determine whether this succession of decisions, while legally compliant, remains proportionate and compatible with constitutional guarantees on freedom of expression and freedom of the press.














",2025-11-19,,,Benin,"Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Freedom of expression, Freedom of the press / media",,,,,,,,,,
"Contested constitutional reforms","Event Summary
On 14 November 2025, the Parliament adopted Law No. 2025-20, amending the Constitution (Law No. 90-32 of 11 December 1990, as revised by Law No. 2019-40 of 7 November 2019), by 90 votes in favor and 19 against. The reform introduces significant constitutional changes and raises serious concerns regarding its democratic legitimacy. This development comes less than six months before Benin’s general elections, including the presidential, legislative, and local elections.
Notably, the reform follows the exclusion of all opposition parties from the upcoming elections. The presidential ticket of the party LES DÉMOCRATES, along with all of its municipal election candidate lists, were barred by the National Electoral Commission (CENA), a decision subsequently upheld by both the Constitutional Court and the Supreme Court.
Key provisions of the reform include:


Presidential term: extended from 5 to 7 years, renewable only once.


Bicameral Parliament: consisting of the National Assembly and a newly established Senate.


Parliamentary term: extended to 7 years, with mechanisms intended to prevent political party switching.


These reforms, however, have been widely perceived as a consolidation of power. They were enacted without national consensus, public mobilization, or meaningful consultation with civil society. When combined with the prior exclusion of political opposition, these factors raise serious doubts about the legitimacy, fairness, and democratic acceptability of the constitutional amendments.
",2025-11-19,,,Benin,"State openness and responsiveness to civil society",Negative,"Deterioration alert",,,,"Changes in degree of government accountability to civil society, Changes in degree of participation of and engagement with civil society",,,,,,,
"Congress  eliminates the Commission on Indigenous and Afro-Peruvian Peoples during the transition toward the Bicameral Congress of 2026","Event Summary
On 23 October 2025, the Congress of the Republic of Peru approved the regulations governing the new bicameral Congress for 2026, which will eliminate the current Commission on Andean, Amazonian, and Afro-Peruvian Peoples, Environment and Ecology &#8211;  and replace it with a new Commission on Environment and Sustainability. The eliminated Commission is a congressional committee that has provided an important platform for engagement with indigenous groups in Peru. As such, this decision represents a serious setback for the protection of Indigenous and Afro-Peruvian rights, the environment, and the guarantee of their representation in political participation.
The Interethnic Association for the Development of the Peruvian Rainforest (AIDESEP) issued a statement rejecting this measure, noting that it represents an “institutional, political, democratic, and historical setback for Indigenous peoples”. Furthermore, they stated that establishment of the new Commission in practice “means the disappearance of the only specialized parliamentary body that provides a technical, differentiated, and intercultural approach to the problems faced by Indigenous peoples”. A constitutional lawyer at the Legal Defense Institute also stated that this measure represents a setback in terms of prior consultation, highlighting that there must have been consultations before taking this measure that directly affects Indigenous peoples.  On the other hand, the congressmen who support the measure argued that it is based on the need establish a budget cap for the functioning of the upcoming chambers.
This measure signals a progressive deterioration of the enabling environment for citizen participation by further reducing the already limited spaces for dialogue and oversight between the government and indigenous communities. Its elimination would affect not only their ability to influence the formulation of public policies that affect them, but also the response to their social and environmental demands and their capacity to defend their collective rights.
",2025-11-20,,,Peru,"Civic Culture and Public Discourses on Civil Society, State openness and responsiveness to civil society",Negative,"Deterioration alert",,,,"Changes in degree of participation of and engagement with civil society",,,,,,,
"Arrest of Kenyan activists in Uganda signals intensifying crackdown on opposition","Event Summary
In the lead-up to Uganda’s January 2026 general elections, where President Yoweri Museveni is seeking a seventh term, Ugandan security forces have intensified crackdowns on opposition figures and their associates. A notable incident involved the abduction and secret detention of two Kenyan human rights activists, Bob Njagi and Nicholas Oyoo, who were in Uganda to support opposition leader Robert Kyagulanyi (Bobi Wine) of the National Unity Platform (NUP). News outlets reported seeing them forced into a car by masked men in uniforms after attending a political event.
This event highlights broader patterns of transnational political repression in East Africa, including similar abductions in Tanzania earlier in 2025, amid rising concerns over democratic backsliding ahead of elections in Uganda in January 2026, and Kenya in 2027, and the region’s recent polls in Tanzania in October 2025. The activists were held incommunicado for 38 days without formal charges or court appearances and were detained in Uganda’s notorious “fridge” military cells where they endured torture before their release on November 8 amid diplomatic pressure.  The incident mirrors past disappearances of opposition supporters across the region and is intertwined with a surge in domestic arrests of National Unity Platform supporters, with at least 500 arrested since November 2024. Fears of escalating pre-election violence have further been intensified by a major crackdown in Mbarara on November 7, where over 60 NUP supporters were arrested, beaten, and held incommunicado under brutal conditions. The Mbarara incident, occurring just days after Museveni’s comments about holding Kenyan activists in a fridge, exemplifies the regime’s strategy to dismantle opposition voices and dissent through mass detentions, beatings, and fabricated charges.
These events have severely degraded Uganda’s enabling environment for civil society by instilling fear among human rights defenders and activists, forcing self-censorship and trauma that leaves activists withdrawn from activism. CSOs that provide legal aid had to divert resources to emergency legal aid amid lawyer harassment. The events also disrupt key CSO activities like voter education, risking a silent democratic collapse ahead of the January 2026 elections.
",2025-11-20,,,Uganda,"Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Arbitrary Arrests and Detentions",,,,,,,,,,
"Destabilization charges filed against 97 individuals involved in September 21 protests","Event Summary
On 28 October 2025, the Philippine National Police’s Criminal Investigation and Detection Group (CIDG) filed charges against 97 individuals, accusing them of being &#8220;instigators and financiers&#8221; of rebellion, sedition, and inciting sedition. These charges relate to violent incidents during the anti-corruption protests on 21 September 2025 in Mendiola, Manila. Six individuals, including student leaders, a vlogger, and a former parliamentarian, confirm having received subpoenas but deny the allegations. The PNP plans to file charges against at least 40 more people in the future.
The protests were part of a national movement demanding government accountability, especially regarding the Trillion Peso flood control scandal in the Department of Public Works and Highways (DPWH). The protests coincided with the 53rd anniversary of the Declaration of Martial Law under Ferdinand Marcos Sr., father of sitting president Ferdinand ‘Bongbong’ Marcos Jr. Violent clashes occurred, with at least 216 protesters detained, including 103 minors. The protests were marked by police brutality including use of excessive force such as gunfire, tear gas, and brute force. Despite the documentation of these events by mainstream and social media, government officials, including Secretary Jonvic Remulla, downplayed the violence, claiming the government exercised &#8220;maximum tolerance&#8221; and that no one was hurt.
The criminalization of activists, including the 97 charged individuals, is seen as part of a broader effort by the government to control public discourse by denying its accountability for violence while misdirecting public attention to criminalize dissent and activism. The controversy has also deepened ideological rifts within the activist community, with one of the largest protest organizers, 1Sambayan, distancing themselves from Makabayan (Nationalist) groups to avoid association with government opposition. The situation also contributes to the culture of &#8220;red-tagging&#8221; and political repression, particularly targeting student and youth leaders.
The government&#8217;s response to the protests and subsequent criminal charges thus highlight concerns about a deteriorating enabling environment, including the suppression of dissent, the denial of state violence, and reinforces ideological divisions within civil society
",2025-11-20,,,Philippines,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Arbitrary Arrests and Detentions, Freedom of assembly",,,,,,,,,,
"Education Ministry orders removal of ""gender"" from all education materials","Event Summary
The Ministry of Education and Science (MEC) of Paraguay issued Resolution No. 1803 on November 7, 2025, mandating the removal of the word &#8220;gender&#8221; from all educational materials, both printed and digital. This extends a previous resolution (No. 29664 from 2017) that banned the use of gender theory and ideology in schools. Social organizations, such as FEIPAR, have strongly criticized this new resolution, arguing that it violates constitutional principles of equality, freedom, and pluralism, and represents a setback for human rights and civic education.
Critics argue that limiting the discussion to &#8220;equality between men and women&#8221; neglects the broader social power dynamics and the formation of gender stereotypes, leading to the inequalities experienced by women and girls in Paraguayan society. Teachers&#8217; unions have voiced concerns that this move signals a regression in educational policy and democracy, with some suggesting religious groups, particularly evangelical sectors, are influencing the decision. Pro-life groups have celebrated the resolution, claiming it protects children.
The decision aligns with a broader trend of excluding the term &#8220;gender&#8221; from public policy, reflecting the government&#8217;s stance that the gender approach, what they term &#8220;gender ideology,&#8221; undermines national sovereignty and promotes anti-rights positions. The exclusion of the word &#8220;gender&#8221; contradicts its use in Paraguay&#8217;s National Development Plan 2030, as well as in various public bodies and programs, such as the Gender Secretariat of the Supreme Court and the &#8220;Equality Action Plan&#8221; under the Ministry of Environment and Sustainable Development.
Overall, this move highlights the ongoing struggle in Paraguay over gender rights, with the government continuing to prioritize binary gender recognition and downplay gender diversity. Part of this trend is the proposal to replace the Ministry of Women with the Ministry of the Family. It perpetuates anti-NGO narratives claiming that the so-called &#8220;gender ideology&#8221; constitutes a &#8220;loss of sovereignty&#8221; or &#8220;foreignization promoted by NGOs/CSOs&#8221; and signals further regression of gender equality, expected to affect also equal participation in civic life.
",2025-11-24,,,Paraguay,"Civic Culture and Public Discourses on Civil Society",Negative,"Deterioration alert",,,,,"Negative discourses on CSOs",,,,,,
"Sierra Leone Police cancel procession against synthetic drug ‘Kush’","Event Summary
On 16 November 2025, organizers of the planned Black Friday “Stop Kush na Salone” procession—aimed at protesting the growing Kush drug crisis in Freetown, Sierra Leone—announced the event’s cancellation after the Sierra Leone Police (SLP) formally refused to grant clearance. The SLP issued a letter citing Section 17 of the 1965 Public Order Act, despite Section 26 of the 1991 Constitution guaranteeing citizens’ freedom of assembly.
One organizer reported being threatened with arrest by senior police officials if the march proceeded. This decision reflects a recurring pattern where the SLP blocks public protests under the guise of “public interest,” undermining constitutional rights. Such actions create a restrictive environment for civic activism, discourage citizen participation, erode trust in state institutions, and limit CSOs’ ability to advocate for social issues—ultimately shrinking civic space in Sierra Leone.
",2025-11-24,,,"Sierra Leone","Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Freedom of assembly",,,,,,,,,,
"Draft Cybersecurity and Cyber Resilience Bill signals further militarization of digital space","Event Summary
The Indonesian Law Ministry has finalized the draft Cybersecurity and Cyber Resilience Bill (RUU KKS) as of 1 October 2025, and submitted it to the House of Representatives for prioritization in the 2026 legislative agenda. This bill responds to increasing cyberattacks and aims to establish a comprehensive framework for managing cyber threats, including regulations for digital product providers, guidelines on artificial intelligence ethics, and procedures for responding to cyber incidents. However, it emphasizes state-centric national security over individual digital rights, introduces concepts like “digital treason” with penalties of up to 20 years’ imprisonment for attacks threatening sovereignty, and controversially assigns investigative roles to the Indonesian National Armed Forces (TNI). Critics argue this fosters legal ambiguities, overlaps with existing laws such as the Electronic Information and Transactions Law, and conflates cybersecurity with cybercrime enforcement, potentially eroding civilian oversight and democratic norms. The draft builds on prior versions from 2019 and early 2024 but retains these structural flaws, prompting calls for revisions to prioritize human-centric protections.
The bill continues the militarization in Indonesia’s cybersecurity domain as part of a broader trend of expansion of military reach in civilian areas of governance. Since late 2024, the government has progressively integrated TNI into cyber operations, beginning with the creation of a dedicated military cyber force in November 2024 following a high-profile data breach at the TNI’s Strategic Intelligence Agency. This was reinforced by the TNI Law revision in early 2025, which expanded non-war military roles to include cyber threat management without clear threat-grading criteria, potentially justifying TNI probes into non-state threats like journalistic leaks. Similar concerns arose in October 2025 when civil society groups, including Kontras, highlighted 85 TNI-related violence cases in the prior year, warning that cyber bill provisions could enable broader crackdowns on dissent.
If enacted without revisions, the RUU KKS poses significant long-term threats to Indonesia’s enabling environment by accelerating the militarization of cyberspace, potentially entrenching authoritarian tendencies and weakening democratic safeguards. Key actors affected include citizens, whose digital rights—such as privacy and freedom of expression—are often sidelined in favor of state interests, potentially exposing them to disproportionate penalties, which could deter online activism.
",2025-11-24,,,Indonesia,"Digital Environment Integrity and Security",Negative,"Early warning alert",,,,,,"Internet Censorship",,,,,
"Council of State Orders President Petro and Interior Benedetti to Retract Accusations Against Ocaña Official","Event Summary
On 18 November 2025, the Council of State ruled that President Gustavo Petro and Interior Minister Armando Benedetti must retract public statements accusing Jorge Armando Bohórquez, the representative of Ocaña (Norte de Santander), of alleged links to the ELN. The decision responds to a tutela filed in July 2025, after Bohórquez sought protection due to threats against his life and family following these accusations.
This ruling carries broader implications. President Petro has previously made similar accusations, such as referring to journalists as “mafia dolls,” a case in which the Constitutional Court also ordered a retraction. Such statements from the head of state contribute to harmful narratives that stigmatize human rights defenders—like the personero—and distort reality by associating political opponents with armed groups, undermining their legitimacy in public discourse.
By requiring a retraction, the Council of State helps restore the reputation of those committed to defending communities and promotes a healthier democratic environment. Accusations without evidence erode trust in institutions, foster stigmatization of local officials, and weaken dialogue between civil society and government authorities. This ruling reinforces that even the highest offices of the State must exercise responsibility in public statements, thereby strengthening accountability and improving the enabling environment for human rights work.
",2025-11-24,,,Colombia,"Civic Culture and Public Discourses on Civil Society",Positive,"Improvement alert",,,,,"Negative labelling of CSOs",,,,,,
"Protests, Police Crackdown, and Internet Shutdown Mark Samia’s Re-election in Tanzania","Event Summary
On 29 October 2025, Tanzania held its General Election to choose the President, Members of Parliament, and Councilors. The vote effectively marked the re-election of President Samia Suluhu Hassan for her second and final term under the Sixth Phase Government.
Polling stations opened at 7:00 a.m. as scheduled, with several top government officials and candidates casting their ballots early and praising the National Electoral Commission for its organization. However, the calm atmosphere shifted dramatically mid-morning when videos circulated online showing protests breaking out in Ubungo, Dar es Salaam. Police were seen firing tear gas to disperse demonstrators.
The protests quickly spread to other parts of the city, including Sinza, Tandale, Mwananyamala, Kimara, and Kibamba. By midday, reports of unrest had emerged from other regions, such as Songwe, Mwanza, Mara, and Mbeya, where police were accused of using excessive force to quell the demonstrations.
In an attempt to contain the situation, the government ordered a nationwide internet shutdown, citing security concerns. The Minister for Foreign Affairs and East African Cooperation, Mahmoud Thabit Kombo, said the measure was necessary because “small groups of vandals were using the internet to incite chaos and destruction.”
The shutdown lasted from around noon on October 29 until 4:00 p.m. on November 3, 2025. Connectivity was restored after President Samia’s swearing-in ceremony for her second term, when she directed that “all services should return to normal.”
The move, however, drew criticism from human rights groups and opposition figures who argued that the shutdown violated citizens’ rights to access information and further deepened concerns over the credibility of an election already marred by arrests of opposition leaders and allegations of repression.
",2025-11-24,,,Tanzania,"Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Arbitrary Arrests and Detentions, Freedom of assembly",,,,,,,,,,
"YouTube removes hundreds of videos from Palestinian organisations documenting Israeli human rights violations","Event Summary
In October 2025, more than 700 videos documenting alleged Israeli violations of international humanitarian law in the occupied Palestinian territory were permanently removed from the video-sharing platform YouTube. The deleted content included testimonies and investigations into the killing of Palestinian journalists, and visual evidence of home demolitions and forced displacement in the West Bank. Over the years, these organisations had built extensive digital archives containing verified footage that served as crucial documentation of human rights abuses and evidence for international accountability mechanisms.
The content removal was due to complete deletion of the official YouTube accounts of three major Palestinian human rights organizations — Al-Haq, Al Mezan Center for Human Rights, and the Palestinian Centre for Human Rights (PCHR). Youtube reportedly confirmed that the deletion was as a direct result of United States’ sanctions against the organisations for their engagements with the International Criminal Court regarding investigations of alleged war crimes by Israel in Gaza.
This  has raised serious concerns among digital rights advocates, who argue that removing such archives represents a direct assault on transparency, accountability, and freedom of information. The Palestinian Center for Human Rights reportedly have criticised YouTube’s actions stating it “protects perpetrators from accountability”. The deletion occurred amid ongoing restrictions imposed by Israeli authorities on civil society operations, humanitarian access, and independent documentation.
",2025-11-24,,,Palestine,"Digital Environment Integrity and Security",Negative,"Deterioration alert",,"Changes affecting the environment for civil society actors to operate",,,,"Internet Censorship",,,,,
"Supreme Court Verdict on Summoning of Lawyers by Investigating Officers in Criminal Cases","Event Summary
On 31 October 2025, the Supreme Court of India delivered a landmark verdict explicitly limiting the powers of investigating agencies to summon lawyers for questioning in ongoing criminal investigations without prior approval. The bench, led by Chief Justice B R Gavai and Justice K Vinod Chandran, declared that lawyers cannot be compelled to divulge confidential communications with clients except in exceptional cases, and such exceptional cases must be clearly outlined and approved in writing by a superior officer not below the rank of Superintendent of Police. The verdict responds to growing concerns over arbitrary summons to legal professionals, which threaten lawyer-client privilege and the right to a fair trial. Further, the judgment clarified procedures for the production of digital devices and documents, ensuring judicial oversight and safeguarding the confidentiality of unrelated client information. In-house counsel, as opposed to independent advocates, are not covered under the same privilege, but are still protected under relevant sections for legal advisors. The Supreme Court’s directions set aside a specific summons issued to a Gujarat-based advocate, marking a significant step to fortify legal protections for members of the bar across India.
",2025-11-24,,,India,"Respect and protection of fundamental freedoms, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Positive,,,,,,,,,,,,
"Escalating Abductions and Political Arrests Raise Alarm in Tanzania","Event Summary
Between 6 October and 24 October 2025, Tanzania witnessed a series of alarming incidents involving prominent political figures and unexplained acts of violence.
On 6 October, former Tanzanian Ambassador to Cuba, Humphrey Polepole, was reportedly abducted and remains missing to date. Despite his high profile — having previously served as High Commissioner to Malawi, CCM’s Ideology and Publicity Secretary, and a Member of Parliament — authorities have not issued any official statement or condemnation regarding his disappearance.
Ten days later, on 16 October, the bodies of four unidentified young men, aged between 19 and 22, were discovered along the Mapinga–Kibaha roadside in the Coast Region. The victims, believed to be residents of Dar es Salaam, bore severe injuries on their faces and legs, raising fears of extrajudicial killings.
Then, on 22 October, John Heche, the CHADEMA Vice Chairman (Mainland), was arrested outside the High Court in Dar es Salaam while attending hearings related to key party cases. His arrest, captured on video and widely shared, sparked national concern after his whereabouts remained unknown for two days.
By 24 October, CHADEMA confirmed that Heche was being held at Mtumba Police Station in Dodoma, though the police have yet to issue any official statement on the matter.
Collectively, these events have deepened public unease over the state of political freedom, human rights, and accountability in Tanzania, as silence from the authorities continues to fuel speculation, fear and uncertainty, signaling a high-risk environment for civic engagement, opposition activity, and human rights advocacy. These developments undermine democratic norms, erode trust in state institutions, and create significant operational and security challenges for civil society organizations and activists.
",2025-11-24,,,Tanzania,"Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Arbitrary Arrests and Detentions",,,,,,,,,,
"Zimbabwe Increases Civil Society Engagement in the APRM Meeting","Event Summary




On 4 November 2025, the Government of Zimbabwe convened an African Peer Review Mechanism (APRM) review meeting with civil society in Harare, reaffirming its commitment to governance reforms and regional integration. The APRM, an African Union initiative, provides a platform for dialogue on governance and socio-economic indicators, engaging government institutions, CSOs, private sector, and media. This review was notable for the inclusion of Civil Society Organisations (CSOs), signaling potential openness to collaboration. CSOs assessed Zimbabwe’s progress on issues such as women’s rights, anti-corruption measures, and engagement with state institutions. Ambassador Albert Ranganai Chimbindi, APRM Focal Point, emphasized the government’s willingness to engage but urged CSOs to use existing channels rather than seeking high-level access, which he argued yields limited results.





Despite positive engagement, procedural shortcomings emerged: late invitations, outdated mailing lists, and missed communication prevented some CSOs from participating. These gaps raise concerns about inclusivity and coordination in future processes. While the meeting suggests a step toward constructive dialogue, the effectiveness of such engagement remains uncertain. If coordination improves, this could strengthen civic space and accountability.

",2025-11-24,,,Zimbabwe,"State openness and responsiveness to civil society",Positive,"Improvement alert",,,,"Changes in degree of participation of and engagement with civil society",,,,,,,
"Harare Magistrate Refuses to Release Journalist’s Travel Documents as Crackdown on Dissent Deepens in Zimbabwe","Event Summary
On 28 October 2025, a Harare court has denied journalist Faith Zaba’s application of alteration of bail conditions, to enable her access to her passport to travel for international media leadership events, raising alarm over judicial overreach and shrinking freedom of expression, assembly and association. The ruling, delivered by Magistrate Tapiwa Kuhudzai, prevents Zaba—editor of the Zimbabwe Independent—from attending the Women in News Guild Gathering and Asia Media Leaders’ Summit in Singapore, where she was invited as one of 19 global women leaders. The State opposed her request, citing flight risk concerns, and the magistrate ruled that permitting travel was “not in the interest of justice.” Rights advocates argue this decision infringes on Zaba’s constitutional rights to freedom of movement and professional development, signaling judicial complicity in restricting civic space. The ruling undermines Zimbabwe’s commitment to gender equality and media freedom, creating a chilling effect on journalists’ participation in global platforms. As noted by Amnesty International, Zaba’s case highlights a pressing need for reform in Zimbabwe&#8217;s legislative landscape to safeguard freedom of expression. This comes amid a growing list of activists, journalists, and dissenting voices under siege in Zimbabwe, reinforcing fears of an increasingly hostile environment for civil society. Laws such as the Criminal Law (Codification and Reform) Act [Chapter 9:23] and the Cyber and Data Protection Act [Chapter 12:07] have been increasingly weaponised against journalists, framing critical reporting as criminal activity.
Zaba’s legal ordeal began on 1 July 2025, when she was charged with “undermining or insulting the authority of the President” after publishing a satirical column titled When We Become a Mafia State on 27 June. Authorities claimed her commentary fostered hostility toward President Mnangagwa’s administration. The case drew condemnation from the Committee to Protect Journalists, which warned it reflects state fragility and misuse of resources to silence dissent. This court ruling deepens the erosion of an enabling environment for civil society, reinforcing patterns of judicial overreach and state intolerance of critical voices.
",2025-11-24,,,Zimbabwe,"Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Arbitrary Arrests and Detentions, Freedom of assembly, Freedom of association, Freedom of expression, Freedom of the press / media",,,,,,,,,,
"15-Year Sentence to Union Leader in Escalating Crackdown and use of Anti-terrorism Laws against Dissent","Event Summary
On 29 October 2025, the criminal court of first instance in Oum El Bouaghi sentenced president of National Union of Culture and Art Officials (SNFC) and critical human rights defender Ali Mammeri to 15 years in prison on charges of &#8220;glorifying terrorism&#8221; and &#8220;disseminating classified information via electronic means of communication.&#8221; According to Amnesty International, the allegations include private communications with exiled activists and information about retaliatory measures targeting unions, which were later shared in discussions before ILO supervisory bodies. Mammeri also reported ill-treatment in custody, including beatings, forced stripping, and the use of coerced confessions—despite the obligation to investigate such claims. He has filed an appeal. Several organizations (Amnesty International, SHOAA, COSYFOP) argue that this ruling exemplifies the abusive use of anti-terrorism laws to crush peaceful dissent and obstruct independent union activity. The case occurs against a backdrop of broader restrictions targeting human rights defenders and trade unions in Algeria, marking a significant deterioration in the enabling environment for civil society and independent unions.
&nbsp;














",2025-11-24,,,Algeria,"Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Freedom of expression, Freedom of the press / media",,,,,"Internet Censorship",,,,,
"Boualem Sansal Pardoned After Year in Detention Amid Diplomatic Pressure and Ongoing Crackdown on Dissent in Algeria","Event Summary
On 12 November 2025, Algerian President Abdelmadjid Tebboune pardoned Franco-Algerian writer Boualem Sansal, who had been detained since November 2024 and sentenced on 27 March 2025 to five years in prison for “undermining state security” and “national unity.” The Algerian presidency stated the pardon followed a humanitarian appeal by German President Frank-Walter Steinmeier, citing Sansal’s advanced age (81) and poor health. Under the agreement, Germany will cover his transfer and medical care. Sansal was released, moved to Berlin, and later traveled to France. Indeed, this positive outcome is worth recognition as it slightly reduces the number of jailed activists and offers a precedent for international engagement.
This case unfolds amid heightened diplomatic tensions between Algeria, France, and the European Union, fueled by historical disputes and disagreements over Western Sahara. While the pardon offers a humanitarian and diplomatic resolution, it does not alter the restrictive legal framework that enabled Sansal’s conviction. The episode underscores the vulnerability of writers and activists under broad security laws and signals persistent risks to freedom of expression. Such selective clemency—dependent on international intervention—raises concerns about unequal protections and deepens uncertainty for civil society actors, eroding trust in domestic legal safeguards and reinforcing a climate of repression. In addition, it is critical to emphasize that this remains an isolated case amid a broader pattern of repression. The enabling environment for civil society continues to deteriorate, with systemic misuse of security laws and escalating restrictions on fundamental freedoms.
",2025-11-24,,,Algeria,"Respect and protection of fundamental freedoms",Positive,"Improvement alert","Freedom of expression, Freedom of the press / media, HRD releases or dismissal of cases",,,,,,,,,,
